Label (Grouping),North Carolina!!Total!!Estimate,North Carolina!!Percent!!Estimate
Population 3 years and over enrolled in school,"2,483,789",(X)
"    Nursery school, preschool","132,087",5.3%
    Kindergarten to 12th grade,"1,690,636",68.1%
        Kindergarten,"123,025",5.0%
        Elementary: grade 1 to grade 4,"489,773",19.7%
        Elementary: grade 5 to grade 8,"530,275",21.3%
        High school: grade 9 to grade 12,"547,563",22.0%
"    College, undergraduate","526,954",21.2%
"    Graduate, professional school","134,112",5.4%
Population enrolled in college or graduate school,"661,066",26.6%
    Males enrolled in college or graduate school,"281,847",23.1%
